velocity, planck_3000, planck_4000, planck_5000
5e-08, 8.0364824747e-22, 2.10895690007e-11, 3.76243257393e-05
6e-08, 2.85207476895e-15, 1.37297403851e-06, 0.222414540658
7e-08, 1.20741437074e-10, 0.00334195358346, 97.563384463
8e-08, 3.25813175153e-07, 1.0588750279, 8550.08327384
9e-08, 0.000141701083006, 87.0377085139, 258647.339821
1e-07, 0.0172949546815, 2801.69128717, 3742146.5405
1.1e-07, 0.842015233008, 45838.4383221, 31825536.3872
1.2e-07, 20.6544562196, 453173.467624, 182395828.061
1.3e-07, 299.897388048, 3049867.90948, 773866485.484
1.4e-07, 2890.64333067, 15207805.3432, 2598422495.67
1.5e-07, 20112.4171445, 59767464.939, 7248784319.09
1.6e-07, 107540.188118, 193869202.549, 17420942595.0
1.7e-07, 463478.043064, 537577929.498, 37075652963.7
1.8e-07, 1670674.13641, 1309359458.57, 71377153072.3
1.9e-07, 5185428.08201, 2861720213.6, 1.26395849937e+11
2e-07, 14183099.59, 5708494469.55, 2.08627751175e+11
2.1e-07, 34831132.4965, 10536158662.4, 3.24422961203e+11
2.2e-07, 77981161.5244, 18194690233.9, 4.79422588301e+11
2.3e-07, 161169245.59, 29667613489.4, 6.78085341636e+11
2.4e-07, 310717137.141, 46024671155.3, 9.2335446636e+11
2.5e-07, 563665468.652, 68363141505.1, 1.21648372878e+12
2.6e-07, 969258020.189, 97744875120.8, 1.55701509247e+12
2.7e-07, 1589735900.24, 1.35135807232e+11, 1.94288347456e+12
2.8e-07, 2500279838.83, 1.81353424011e+11, 2.3706154426e+12
2.9e-07, 3788039129.3, 2.37025900253e+11, 2.83558716273e+12
3e-07, 5550287422.91, 3.02564791537e+11, 3.33231005907e+12
3.1e-07, 7891832592.85, 3.78151541309e+11, 3.85471836691e+12
3.2e-07, 10921870205.8, 4.63736806951e+11, 4.39643939831e+12
3.3e-07, 14750503939.3, 5.59050765758e+11, 4.95103377014e+12
3.4e-07, 19485162852.5, 6.63622105576e+11, 5.51219842834e+12
3.5e-07, 25227129463.2, 7.76803268232e+11, 6.07392975812e+12
3.6e-07, 32068360505.3, 8.97799614047e+11, 6.6306473601e+12
3.7e-07, 40088740723.3, 1.02570043135e+12, 7.17728130324e+12
3.8e-07, 49353865069.0, 1.15951005615e+12, 7.70932701146e+12
3.9e-07, 59913400974.9, 1.29817773922e+12, 8.22287259725e+12
4e-07, 71800043304.2, 1.44062526204e+12, 8.7146036066e+12
4.1e-07, 85029042141.1, 1.58577163384e+12, 9.18178994517e+12
4.2e-07, 99598258633.4, 1.73255448642e+12, 9.62225934557e+12
4.3e-07, 1.15488686629e+11, 1.87994801502e+12, 1.00343612078e+13
4.4e-07, 1.32665367265e+11, 2.0269774938e+12, 1.04169240726e+13
4.5e-07, 1.51078618981e+11, 2.17273052696e+12, 1.07692094174e+13
4.6e-07, 1.7066550557e+11, 2.31636528725e+12, 1.10908639328e+13
4.7e-07, 1.91351468593e+11, 2.45711605011e+12, 1.13818719556e+13
4.8e-07, 2.13052056849e+11, 2.59429635997e+12, 1.16425093181e+13
4.9e-07, 2.35674693495e+11, 2.72730017274e+12, 1.18732995185e+13
5e-07, 2.59120430193e+11, 2.85560130981e+12, 1.20749728235e+13
5.1e-07, 2.83285646662e+11, 2.97875154008e+12, 1.22484286804e+13
5.2e-07, 3.08063662726e+11, 3.09637757961e+12, 1.23947016256e+13
5.3e-07, 3.33346238119e+11, 3.20817726897e+12, 1.25149307368e+13
5.4e-07, 3.59024942676e+11, 3.31391515596e+12, 1.26103325655e+13
5.5e-07, 3.84992385966e+11, 3.41341768012e+12, 1.26821774117e+13
5.6e-07, 4.11143300977e+11, 3.50656812472e+12, 1.27317687485e+13
5.7e-07, 4.37375480988e+11, 3.59330147377e+12, 1.27604255711e+13
5.8e-07, 4.6359057246e+11, 3.67359928571e+12, 1.27694674271e+13
5.9e-07, 4.89694729643e+11, 3.74748467262e+12, 1.27602018753e+13
6e-07, 5.15599138721e+11, 3.81501745335e+12, 1.27339141273e+13
6.1e-07, 5.41220420823e+11, 3.87628953197e+12, 1.26918586268e+13
6.2e-07, 5.66480924188e+11, 3.93142053775e+12, 1.2635252341e+13
6.3e-07, 5.91308916307e+11, 3.98055375079e+12, 1.25652695474e+13
6.4e-07, 6.15638686986e+11, 4.02385232711e+12, 1.24830379196e+13
6.5e-07, 6.39410573162e+11, 4.06149582867e+12, 1.23896357311e+13
6.6e-07, 6.62570915944e+11, 4.0936770573e+12, 1.22860900143e+13
6.7e-07, 6.85071959821e+11, 4.12059918625e+12, 1.21733755275e+13
6.8e-07, 7.06871703359e+11, 4.14247317916e+12, 1.20524143998e+13
6.9e-07, 7.27933709983e+11, 4.15951548351e+12, 1.19240763398e+13
7e-07, 7.48226886711e+11, 4.17194598349e+12, 1.17891793045e+13
7.1e-07, 7.6772523792e+11, 4.17998619591e+12, 1.16484905425e+13
7.2e-07, 7.86407600486e+11, 4.18385769207e+12, 1.15027279336e+13
7.3e-07, 8.04257365901e+11, 4.18378072845e+12, 1.13525615586e+13
7.4e-07, 8.21262194249e+11, 4.17997306885e+12, 1.11986154431e+13
7.5e-07, 8.374137243e+11, 4.17264898122e+12, 1.10414694273e+13
7.6e-07, 8.52707283326e+11, 4.16201839308e+12, 1.08816611204e+13
7.7e-07, 8.67141599721e+11, 4.14828618985e+12, 1.07196879059e+13
7.8e-07, 8.8071852095e+11, 4.13165164166e+12, 1.05560089685e+13
7.9e-07, 8.93442738941e+11, 4.11230794487e+12, 1.03910473204e+13
8e-07, 9.05321524574e+11, 4.09044186548e+12, 1.02251918066e+13
8.1e-07, 9.1636447259e+11, 4.06623347268e+12, 1.00587990744e+13
8.2e-07, 9.26583257893e+11, 4.0398559517e+12, 9.89219549431e+12
8.3e-07, 9.35991403974e+11, 4.01147548589e+12, 9.72567902371e+12
8.4e-07, 9.44604063909e+11, 3.9812511992e+12, 9.55952100529e+12
8.5e-07, 9.52437814184e+11, 3.94933515054e+12, 9.39396789538e+12
8.6e-07, 9.59510461458e+11, 3.91587237288e+12, 9.22924291862e+12
8.7e-07, 9.65840862166e+11, 3.88100095025e+12, 9.06554764674e+12
8.8e-07, 9.7144875481e+11, 3.84485212675e+12, 8.90306350043e+12
8.9e-07, 9.76354604626e+11, 3.80755044212e+12, 8.74195317424e+12
9e-07, 9.80579460291e+11, 3.7692138893e+12, 8.58236198505e+12
9.1e-07, 9.84144822213e+11, 3.72995408962e+12, 8.42441914561e+12
9.2e-07, 9.87072521965e+11, 3.68987648199e+12, 8.2682389647e+12
9.3e-07, 9.89384612326e+11, 3.64908052286e+12, 8.11392197616e+12
9.4e-07, 9.91103267423e+11, 3.60765989404e+12, 7.96155599918e+12
9.5e-07, 9.92250692412e+11, 3.56570271593e+12, 7.81121713254e+12
9.6e-07, 9.9284904216e+11, 3.52329176411e+12, 7.66297068546e+12
9.7e-07, 9.9292034838e+11, 3.4805046872e+12, 7.51687204799e+12
9.8e-07, 9.92486454662e+11, 3.43741422476e+12, 7.37296750386e+12
9.9e-07, 9.91568958895e+11, 3.39408842354e+12, 7.23129498862e+12
1e-06, 9.90189162536e+11, 3.3505908512e+12, 7.09188479599e+12
1.01e-06, 9.88368026247e+11, 3.30698080642e+12, 6.95476023529e+12
1.02e-06, 9.86126131401e+11, 3.2633135247e+12, 6.81993824261e+12
1.03e-06, 9.83483647019e+11, 3.21964037914e+12, 6.68742994862e+12
1.04e-06, 9.80460301682e+11, 3.17600907578e+12, 6.55724120527e+12
1.05e-06, 9.77075360005e+11, 3.13246384301e+12, 6.42937307432e+12
1.06e-06, 9.73347603288e+11, 3.08904561486e+12, 6.30382227965e+12
1.07e-06, 9.6929531397e+11, 3.04579220786e+12, 6.18058162603e+12
1.08e-06, 9.64936263537e+11, 3.0027384914e+12, 6.05964038619e+12
1.09e-06, 9.6028770355e+11, 2.95991655148e+12, 5.94098465853e+12
1.1e-06, 9.55366359514e+11, 2.91735584782e+12, 5.82459769729e+12
1.11e-06, 9.50188427272e+11, 2.8750833644e+12, 5.710460217e+12
